Id,SubjectKey,FactName,Domain,ValueKey,RawValue,NormalizedValue,SourceFamily,TableName,SourcePath,RowKey,LineNumber,ByteOffset,FieldName,Confidence,Notes
claim:5,Ability:9323,ApCost,ActionPoints,0,0,0,client_bin,abilityexport.bin,C:\Users\Admin\Pictures\WAR_extracted\data\bin\abilityexport.bin,record=6548;AbilityId=9323;offset=1312465,0,1312465,ApCost,client_bin,abilityexport.bin
claim:6,Ability:9323,CareerLine,CareerLineId,21,21,21,client_bin,abilityexport.bin,C:\Users\Admin\Pictures\WAR_extracted\data\bin\abilityexport.bin,record=6548;AbilityId=9323;offset=1312465,0,1312465,CareerLine,client_bin,abilityexport.bin
claim:2,Ability:9323,CastTime,Milliseconds,0,0,0,client_bin,abilityexport.bin,C:\Users\Admin\Pictures\WAR_extracted\data\bin\abilityexport.bin,record=6548;AbilityId=9323;offset=1312465,0,1312465,CastTime,client_bin,abilityexport.bin
claim:3,Ability:9323,Cooldown,Milliseconds,0,0,0,client_bin,abilityexport.bin,C:\Users\Admin\Pictures\WAR_extracted\data\bin\abilityexport.bin,record=6548;AbilityId=9323;offset=1312465,0,1312465,Cooldown,client_bin,abilityexport.bin
claim:75,Ability:9323,Description,AbilityDescription,A sweeping strike that rakes across targets up to {COM_1_RADI_FEET} in front of you for {COM_1_VAL0_DAMAGE},A sweeping strike that rakes across targets up to {COM_1_RADI_FEET} in front of you for {COM_1_VAL0_DAMAGE},A sweeping strike that rakes across targets up to {COM_1_RADI_FEET} in front of you for {COM_1_VAL0_DAMAGE},client_strings,abilitydesc.txt,C:\Users\Admin\Pictures\WAR_extracted\data\strings\english\abilitydesc.txt,line=9324;EntryId=9323,9324,0,value,localized_string,abilitydesc.txt
claim:1,Ability:9323,EffectId,EffectId,2459,2459,2459,client_bin,abilityexport.bin,C:\Users\Admin\Pictures\WAR_extracted\data\bin\abilityexport.bin,record=6548;AbilityId=9323;offset=1312465,0,1312465,EffectId,client_bin,abilityexport.bin
claim:74,Ability:9323,Name,AbilityName,Monstrous Rending,Monstrous Rending^n,Monstrous Rending,client_strings,abilitynames.txt,C:\Users\Admin\Pictures\WAR_extracted\data\strings\english\abilitynames.txt,line=9324;EntryId=9323,9324,0,value,localized_string,abilitynames.txt
claim:4,Ability:9323,Range,Feet,0,0,0,client_bin,abilityexport.bin,C:\Users\Admin\Pictures\WAR_extracted\data\bin\abilityexport.bin,record=6548;AbilityId=9323;offset=1312465,0,1312465,Range,client_bin,abilityexport.bin
claim:59,Ability:9323,RequirementId,RequirementId,9365,9365,9365,client_bin,abilityexport.bin,C:\Users\Admin\Pictures\WAR_extracted\data\bin\abilityexport.bin,record=6548;AbilityId=9323;offset=1312465,0,1312465,ExtData[1].Val6,Inferred,Inferred requirement reference because ExtData[*].Val6 matches a known RequirementId row in abilityrequirementexport.bin.
claim:76,Component:12347,Description,ComponentDescription,,,,client_strings,componenteffects.txt,C:\Users\Admin\Pictures\WAR_extracted\data\strings\english\componenteffects.txt,line=12348;EntryId=12347,12348,0,value,localized_string,componenteffects.txt
