Id,SubjectKey,FactName,Domain,ValueKey,RawValue,NormalizedValue,SourceFamily,TableName,SourcePath,RowKey,LineNumber,ByteOffset,FieldName,Confidence,Notes
claim:5,Ability:9345,ApCost,ActionPoints,20,20,20,client_bin,abilityexport.bin,C:\Users\Admin\Pictures\WAR_extracted\data\bin\abilityexport.bin,record=6567;AbilityId=9345;offset=1316712,0,1316712,ApCost,client_bin,abilityexport.bin
claim:6,Ability:9345,CareerLine,CareerLineId,21,21,21,client_bin,abilityexport.bin,C:\Users\Admin\Pictures\WAR_extracted\data\bin\abilityexport.bin,record=6567;AbilityId=9345;offset=1316712,0,1316712,CareerLine,client_bin,abilityexport.bin
claim:2,Ability:9345,CastTime,Milliseconds,0,0,0,client_bin,abilityexport.bin,C:\Users\Admin\Pictures\WAR_extracted\data\bin\abilityexport.bin,record=6567;AbilityId=9345;offset=1316712,0,1316712,CastTime,client_bin,abilityexport.bin
claim:3,Ability:9345,Cooldown,Milliseconds,30000,30000,30000,client_bin,abilityexport.bin,C:\Users\Admin\Pictures\WAR_extracted\data\bin\abilityexport.bin,record=6567;AbilityId=9345;offset=1316712,0,1316712,Cooldown,client_bin,abilityexport.bin
claim:27,Ability:9345,Description,AbilityDescription,You ready your blade and defiantly raise your shield to increase your Block rate by {COM_0_VAL0}% for up to {COM_0_DURA_SECONDS}. Any time you block during this time you will lash out at your attacker for {COM_3_VAL0_DAMAGE} and gain {ABIL_296_COM_0_VAL0} Hatred.,You ready your blade and defiantly raise your shield to increase your Block rate by {COM_0_VAL0}% for up to {COM_0_DURA_SECONDS}. Any time you block during this time you will lash out at your attacker for {COM_3_VAL0_DAMAGE} and gain {ABIL_296_COM_0_VAL0} Hatred.,You ready your blade and defiantly raise your shield to increase your Block rate by {COM_0_VAL0}% for up to {COM_0_DURA_SECONDS}. Any time you block during this time you will lash out at your attacker for {COM_3_VAL0_DAMAGE} and gain {ABIL_296_COM_0_VAL0} Hatred.,client_strings,abilitydesc.txt,C:\Users\Admin\Pictures\WAR_extracted\data\strings\english\abilitydesc.txt,line=9346;EntryId=9345,9346,0,value,localized_string,abilitydesc.txt
claim:1,Ability:9345,EffectId,EffectId,2481,2481,2481,client_bin,abilityexport.bin,C:\Users\Admin\Pictures\WAR_extracted\data\bin\abilityexport.bin,record=6567;AbilityId=9345;offset=1316712,0,1316712,EffectId,client_bin,abilityexport.bin
claim:26,Ability:9345,Name,AbilityName,None Shall Pass,None Shall Pass^n,None Shall Pass,client_strings,abilitynames.txt,C:\Users\Admin\Pictures\WAR_extracted\data\strings\english\abilitynames.txt,line=9346;EntryId=9345,9346,0,value,localized_string,abilitynames.txt
claim:4,Ability:9345,Range,Feet,0,0,0,client_bin,abilityexport.bin,C:\Users\Admin\Pictures\WAR_extracted\data\bin\abilityexport.bin,record=6567;AbilityId=9345;offset=1316712,0,1316712,Range,client_bin,abilityexport.bin
claim:25,Ability:9345,RequirementId,RequirementId,9009,9009,9009,client_bin,abilityexport.bin,C:\Users\Admin\Pictures\WAR_extracted\data\bin\abilityexport.bin,record=6567;AbilityId=9345;offset=1316712,0,1316712,ExtData[0].Val6,Inferred,Inferred requirement reference because ExtData[*].Val6 matches a known RequirementId row in abilityrequirementexport.bin.
claim:28,Component:12378,Description,ComponentDescription,Chance to block increased by <<1>>%.,Chance to block increased by <<1>>%.,Chance to block increased by <<1>>%.,client_strings,componenteffects.txt,C:\Users\Admin\Pictures\WAR_extracted\data\strings\english\componenteffects.txt,line=12379;EntryId=12378,12379,0,value,localized_string,componenteffects.txt
