Id,Kind,Key,Label,Properties
ability:24824,ability,24824,Ability 24824,
component:26566,component,26566,Component 26566,
component:26567,component,26567,Component 26567,
component:26568,component,26568,Component 26568,
component:26569,component,26569,Component 26569,
component:26570,component,26570,Component 26570,
component:26571,component,26571,Component 26571,
component:343,component,343,Component 343,
effect:110,effect,110,Effect 110,
effect:4833,effect,4833,Effect 4833,
row:abilitycomponentexport.bin|record=16673;ComponentId=26566;offset=2833560,row,abilitycomponentexport.bin|record=16673;ComponentId=26566;offset=2833560,abilitycomponentexport.bin record=16673;ComponentId=26566;offset=2833560,byte_offset=2833560 | source_path=C:\Users\Admin\Pictures\WAR_extracted\data\bin\abilitycomponentexport.bin
row:abilitycomponentexport.bin|record=16674;ComponentId=26567;offset=2833693,row,abilitycomponentexport.bin|record=16674;ComponentId=26567;offset=2833693,abilitycomponentexport.bin record=16674;ComponentId=26567;offset=2833693,byte_offset=2833693 | source_path=C:\Users\Admin\Pictures\WAR_extracted\data\bin\abilitycomponentexport.bin
row:abilitycomponentexport.bin|record=16675;ComponentId=26568;offset=2833892,row,abilitycomponentexport.bin|record=16675;ComponentId=26568;offset=2833892,abilitycomponentexport.bin record=16675;ComponentId=26568;offset=2833892,byte_offset=2833892 | source_path=C:\Users\Admin\Pictures\WAR_extracted\data\bin\abilitycomponentexport.bin
row:abilitycomponentexport.bin|record=16676;ComponentId=26569;offset=2834091,row,abilitycomponentexport.bin|record=16676;ComponentId=26569;offset=2834091,abilitycomponentexport.bin record=16676;ComponentId=26569;offset=2834091,byte_offset=2834091 | source_path=C:\Users\Admin\Pictures\WAR_extracted\data\bin\abilitycomponentexport.bin
row:abilitycomponentexport.bin|record=16677;ComponentId=26570;offset=2834257,row,abilitycomponentexport.bin|record=16677;ComponentId=26570;offset=2834257,abilitycomponentexport.bin record=16677;ComponentId=26570;offset=2834257,byte_offset=2834257 | source_path=C:\Users\Admin\Pictures\WAR_extracted\data\bin\abilitycomponentexport.bin
row:abilitycomponentexport.bin|record=16678;ComponentId=26571;offset=2834423,row,abilitycomponentexport.bin|record=16678;ComponentId=26571;offset=2834423,abilitycomponentexport.bin record=16678;ComponentId=26571;offset=2834423,byte_offset=2834423 | source_path=C:\Users\Admin\Pictures\WAR_extracted\data\bin\abilitycomponentexport.bin
row:abilitycomponentexport.bin|record=6792;ComponentId=343;offset=1187902,row,abilitycomponentexport.bin|record=6792;ComponentId=343;offset=1187902,abilitycomponentexport.bin record=6792;ComponentId=343;offset=1187902,byte_offset=1187902 | source_path=C:\Users\Admin\Pictures\WAR_extracted\data\bin\abilitycomponentexport.bin
row:abilitydesc.txt|line=24825;EntryId=24824,row,abilitydesc.txt|line=24825;EntryId=24824,abilitydesc.txt line=24825;EntryId=24824,"line_number=24825 | normalized_value=Throw a bundle of netting at a targeted location, which immediately expands to cover a {COM_3_RADI_FEET} radial area around the location. Enemies caught in the netting are snared, disabled, and will take damage with every step they attempt to make. | raw_value=Throw a bundle of netting at a targeted location, which immediately expands to cover a {COM_3_RADI_FEET} radial area around the location. Enemies caught in the netting are snared, disabled, and will take damage with every step they attempt to make. | source_path=C:\Users\Admin\Pictures\WAR_extracted\data\strings\english\abilitydesc.txt"
row:abilityexport.bin|record=9996;AbilityId=24824;offset=1995402,row,abilityexport.bin|record=9996;AbilityId=24824;offset=1995402,abilityexport.bin record=9996;AbilityId=24824;offset=1995402,byte_offset=1995402 | source_path=C:\Users\Admin\Pictures\WAR_extracted\data\bin\abilityexport.bin
row:abilitynames.txt|line=24825;EntryId=24824,row,abilitynames.txt|line=24825;EntryId=24824,abilitynames.txt line=24825;EntryId=24824,line_number=24825 | normalized_value=Snare Net | raw_value=Snare Net^n | source_path=C:\Users\Admin\Pictures\WAR_extracted\data\strings\english\abilitynames.txt
row:componenteffects.txt|line=26567;EntryId=26566,row,componenteffects.txt|line=26567;EntryId=26566,componenteffects.txt line=26567;EntryId=26566,line_number=26567 | source_path=C:\Users\Admin\Pictures\WAR_extracted\data\strings\english\componenteffects.txt
row:componenteffects.txt|line=26568;EntryId=26567,row,componenteffects.txt|line=26568;EntryId=26567,componenteffects.txt line=26568;EntryId=26567,line_number=26568 | normalized_value=Movement reduced by <<1>>%. | raw_value=Movement reduced by <<1>>%. | source_path=C:\Users\Admin\Pictures\WAR_extracted\data\strings\english\componenteffects.txt
row:componenteffects.txt|line=26569;EntryId=26568,row,componenteffects.txt|line=26569;EntryId=26568,componenteffects.txt line=26569;EntryId=26568,line_number=26569 | source_path=C:\Users\Admin\Pictures\WAR_extracted\data\strings\english\componenteffects.txt
row:componenteffects.txt|line=26570;EntryId=26569,row,componenteffects.txt|line=26570;EntryId=26569,componenteffects.txt line=26570;EntryId=26569,line_number=26570 | source_path=C:\Users\Admin\Pictures\WAR_extracted\data\strings\english\componenteffects.txt
row:componenteffects.txt|line=26571;EntryId=26570,row,componenteffects.txt|line=26571;EntryId=26570,componenteffects.txt line=26571;EntryId=26570,line_number=26571 | source_path=C:\Users\Admin\Pictures\WAR_extracted\data\strings\english\componenteffects.txt
row:componenteffects.txt|line=26572;EntryId=26571,row,componenteffects.txt|line=26572;EntryId=26571,componenteffects.txt line=26572;EntryId=26571,line_number=26572 | source_path=C:\Users\Admin\Pictures\WAR_extracted\data\strings\english\componenteffects.txt
row:componenteffects.txt|line=344;EntryId=343,row,componenteffects.txt|line=344;EntryId=343,componenteffects.txt line=344;EntryId=343,line_number=344 | source_path=C:\Users\Admin\Pictures\WAR_extracted\data\strings\english\componenteffects.txt
row:effects.csv|line=126;EffectId=110,row,effects.csv|line=126;EffectId=110,effects.csv line=126;EffectId=110,line_number=126 | source_path=C:\Users\Admin\Pictures\WAR_extracted\data\gamedata\effects.csv
