Id,Kind,Key,Label,Properties
ability:9350,ability,9350,Ability 9350,
component:12401,component,12401,Component 12401,
component:12402,component,12402,Component 12402,
component:12403,component,12403,Component 12403,
component:12740,component,12740,Component 12740,
component:12741,component,12741,Component 12741,
effect:12,effect,12,Effect 12,
effect:1322,effect,1322,Effect 1322,
effect:1329,effect,1329,Effect 1329,
effect:1330,effect,1330,Effect 1330,
effect:1433,effect,1433,Effect 1433,
effect:1696,effect,1696,Effect 1696,
effect:1765,effect,1765,Effect 1765,
effect:1802,effect,1802,Effect 1802,
effect:1804,effect,1804,Effect 1804,
effect:2009,effect,2009,Effect 2009,
effect:2010,effect,2010,Effect 2010,
effect:2019,effect,2019,Effect 2019,
effect:2023,effect,2023,Effect 2023,
effect:2031,effect,2031,Effect 2031,
effect:2099,effect,2099,Effect 2099,
effect:2110,effect,2110,Effect 2110,
effect:2213,effect,2213,Effect 2213,
effect:2253,effect,2253,Effect 2253,
effect:2352,effect,2352,Effect 2352,
effect:2364,effect,2364,Effect 2364,
effect:2414,effect,2414,Effect 2414,
effect:2459,effect,2459,Effect 2459,
effect:2462,effect,2462,Effect 2462,
effect:2486,effect,2486,Effect 2486,
effect:2531,effect,2531,Effect 2531,
effect:2644,effect,2644,Effect 2644,
effect:2740,effect,2740,Effect 2740,
effect:2744,effect,2744,Effect 2744,
effect:2808,effect,2808,Effect 2808,
effect:2809,effect,2809,Effect 2809,
effect:2903,effect,2903,Effect 2903,
effect:2972,effect,2972,Effect 2972,
effect:339,effect,339,Effect 339,
effect:432,effect,432,Effect 432,
effect:445,effect,445,Effect 445,
effect:448,effect,448,Effect 448,
effect:505,effect,505,Effect 505,
effect:540,effect,540,Effect 540,
effect:541,effect,541,Effect 541,
effect:545,effect,545,Effect 545,
effect:562,effect,562,Effect 562,
effect:57,effect,57,Effect 57,
effect:614,effect,614,Effect 614,
effect:630,effect,630,Effect 630,
effect:68,effect,68,Effect 68,
effect:725,effect,725,Effect 725,
effect:841,effect,841,Effect 841,
effect:9,effect,9,Effect 9,
effect:92,effect,92,Effect 92,
effect:921,effect,921,Effect 921,
requirement:9372,requirement,9372,Requirement 9372,
