Id,Kind,Key,Label,Properties
ability:9349,ability,9349,Ability 9349,
component:12400,component,12400,Component 12400,
component:12738,component,12738,Component 12738,
component:12739,component,12739,Component 12739,
component:149,component,149,Component 149,
effect:2416,effect,2416,Effect 2416,
effect:2485,effect,2485,Effect 2485,
effect:40,effect,40,Effect 40,
requirement:9371,requirement,9371,Requirement 9371,
requirement:9381,requirement,9381,Requirement 9381,
requirement:9391,requirement,9391,Requirement 9391,
requirement:9620,requirement,9620,Requirement 9620,
requirement:9621,requirement,9621,Requirement 9621,
requirement:9622,requirement,9622,Requirement 9622,
requirement:9623,requirement,9623,Requirement 9623,
requirement:9624,requirement,9624,Requirement 9624,
requirement:9625,requirement,9625,Requirement 9625,
row:abilitycomponentexport.bin|record=5916;ComponentId=12400;offset=1035820,row,abilitycomponentexport.bin|record=5916;ComponentId=12400;offset=1035820,abilitycomponentexport.bin record=5916;ComponentId=12400;offset=1035820,byte_offset=1035820 | source_path=C:\Users\Admin\Pictures\WAR_extracted\data\bin\abilitycomponentexport.bin
row:abilitycomponentexport.bin|record=6244;ComponentId=12738;offset=1093667,row,abilitycomponentexport.bin|record=6244;ComponentId=12738;offset=1093667,abilitycomponentexport.bin record=6244;ComponentId=12738;offset=1093667,byte_offset=1093667 | source_path=C:\Users\Admin\Pictures\WAR_extracted\data\bin\abilitycomponentexport.bin
row:abilitycomponentexport.bin|record=6245;ComponentId=12739;offset=1093833,row,abilitycomponentexport.bin|record=6245;ComponentId=12739;offset=1093833,abilitycomponentexport.bin record=6245;ComponentId=12739;offset=1093833,byte_offset=1093833 | source_path=C:\Users\Admin\Pictures\WAR_extracted\data\bin\abilitycomponentexport.bin
row:abilitycomponentexport.bin|record=6621;ComponentId=149;offset=1158295,row,abilitycomponentexport.bin|record=6621;ComponentId=149;offset=1158295,abilitycomponentexport.bin record=6621;ComponentId=149;offset=1158295,byte_offset=1158295 | source_path=C:\Users\Admin\Pictures\WAR_extracted\data\bin\abilitycomponentexport.bin
