Id,Kind,FromNodeId,ToNodeId,Label,ClaimId
edge:1,declared_by,ability:354,row:abilities.csv|line=411;AbilityId=354,abilities.csv,
edge:2,declared_by,ability:354,row:abilityexport.bin|record=1237;AbilityId=354;offset=241013,abilityexport.bin,
edge:7,declared_by,component:12676,row:abilitycomponentexport.bin|record=6185;ComponentId=12676;offset=1082949,abilitycomponentexport.bin,
edge:8,declared_by,component:12707,row:abilitycomponentexport.bin|record=6214;ComponentId=12707;offset=1087928,abilitycomponentexport.bin,
edge:6,declared_by,effect:2476,row:effects.csv|line=2563;EffectId=2476,effects.csv,
edge:5,declared_by,effect:354,row:effects.csv|line=395;EffectId=354,effects.csv,
edge:11,localized_component_description,component:12676,row:componenteffects.txt|line=12677;EntryId=12676,componenteffects.txt,claim:21
edge:12,localized_component_description,component:12707,row:componenteffects.txt|line=12708;EntryId=12707,componenteffects.txt,claim:22
edge:10,localized_description,ability:354,row:abilitydesc.txt|line=355;EntryId=354,abilitydesc.txt,claim:20
edge:9,localized_name,ability:354,row:abilitynames.txt|line=355;EntryId=354,abilitynames.txt,claim:19
edge:4,uses_component,ability:354,component:12676,abilityexport.bin,
edge:3,uses_component,ability:354,component:12707,abilityexport.bin,
