Id,SubjectKey,FactName,Domain,ValueKey,RawValue,NormalizedValue,SourceFamily,TableName,SourcePath,RowKey,LineNumber,ByteOffset,FieldName,Confidence,Notes
claim:7,Ability:4651,ApCost,ActionPoints,40,40,40,client_bin,abilityexport.bin,C:\Users\Admin\Pictures\WAR_extracted\data\bin\abilityexport.bin,record=7226;AbilityId=4651;offset=1446505,0,1446505,ApCost,client_bin,abilityexport.bin
claim:8,Ability:4651,CareerLine,CareerLineId,0,0,0,client_bin,abilityexport.bin,C:\Users\Admin\Pictures\WAR_extracted\data\bin\abilityexport.bin,record=7226;AbilityId=4651;offset=1446505,0,1446505,CareerLine,client_bin,abilityexport.bin
claim:4,Ability:4651,CastTime,Milliseconds,0,0,0,client_bin,abilityexport.bin,C:\Users\Admin\Pictures\WAR_extracted\data\bin\abilityexport.bin,record=7226;AbilityId=4651;offset=1446505,0,1446505,CastTime,client_bin,abilityexport.bin
claim:5,Ability:4651,Cooldown,Milliseconds,10000,10000,10000,client_bin,abilityexport.bin,C:\Users\Admin\Pictures\WAR_extracted\data\bin\abilityexport.bin,record=7226;AbilityId=4651;offset=1446505,0,1446505,Cooldown,client_bin,abilityexport.bin
claim:39,Ability:4651,Description,AbilityDescription,,,,client_strings,abilitydesc.txt,C:\Users\Admin\Pictures\WAR_extracted\data\strings\english\abilitydesc.txt,line=4652;EntryId=4651,4652,0,value,localized_string,abilitydesc.txt
claim:3,Ability:4651,EffectId,EffectId,1139,1139,1139,client_bin,abilityexport.bin,C:\Users\Admin\Pictures\WAR_extracted\data\bin\abilityexport.bin,record=7226;AbilityId=4651;offset=1446505,0,1446505,EffectId,client_bin,abilityexport.bin
claim:2,Ability:4651,EffectId,EffectId,4651,4651,4651,client_csv,abilities.csv,C:\Users\Admin\Pictures\WAR_extracted\data\gamedata\abilities.csv,line=4804;AbilityId=4651,4804,0,Effect,client_contract,abilities.csv
claim:1,Ability:4651,Name,AbilityName,greenskin Tank flourish1,greenskin Tank flourish1,greenskin Tank flourish1,client_csv,abilities.csv,C:\Users\Admin\Pictures\WAR_extracted\data\gamedata\abilities.csv,line=4804;AbilityId=4651,4804,0,name,client_contract,abilities.csv
claim:38,Ability:4651,Name,AbilityName,Knockback,Knockback^n,Knockback,client_strings,abilitynames.txt,C:\Users\Admin\Pictures\WAR_extracted\data\strings\english\abilitynames.txt,line=4652;EntryId=4651,4652,0,value,localized_string,abilitynames.txt
claim:6,Ability:4651,Range,Feet,0,0,0,client_bin,abilityexport.bin,C:\Users\Admin\Pictures\WAR_extracted\data\bin\abilityexport.bin,record=7226;AbilityId=4651;offset=1446505,0,1446505,Range,client_bin,abilityexport.bin
claim:40,Component:343,Description,ComponentDescription,,,,client_strings,componenteffects.txt,C:\Users\Admin\Pictures\WAR_extracted\data\strings\english\componenteffects.txt,line=344;EntryId=343,344,0,value,localized_string,componenteffects.txt
claim:32,Component:343,Duration,Milliseconds,0,0,0,client_bin,abilitycomponentexport.bin,C:\Users\Admin\Pictures\WAR_extracted\data\bin\abilitycomponentexport.bin,record=6792;ComponentId=343;offset=1187902,0,1187902,Duration,client_bin,abilitycomponentexport.bin
claim:33,Component:343,Interval,Milliseconds,0,0,0,client_bin,abilitycomponentexport.bin,C:\Users\Admin\Pictures\WAR_extracted\data\bin\abilitycomponentexport.bin,record=6792;ComponentId=343;offset=1187902,0,1187902,Interval,client_bin,abilitycomponentexport.bin
claim:30,Component:343,Operation,ComponentOperation,23,23,23,client_bin,abilitycomponentexport.bin,C:\Users\Admin\Pictures\WAR_extracted\data\bin\abilitycomponentexport.bin,record=6792;ComponentId=343;offset=1187902,0,1187902,Operation,client_bin,abilitycomponentexport.bin
claim:31,Component:343,Radius,Radius,0,0,0,client_bin,abilitycomponentexport.bin,C:\Users\Admin\Pictures\WAR_extracted\data\bin\abilitycomponentexport.bin,record=6792;ComponentId=343;offset=1187902,0,1187902,Radius,client_bin,abilitycomponentexport.bin
claim:41,Component:4611,Description,ComponentDescription,,,,client_strings,componenteffects.txt,C:\Users\Admin\Pictures\WAR_extracted\data\strings\english\componenteffects.txt,line=4612;EntryId=4611,4612,0,value,localized_string,componenteffects.txt
