Id,SubjectKey,FactName,Domain,ValueKey,RawValue,NormalizedValue,SourceFamily,TableName,SourcePath,RowKey,LineNumber,ByteOffset,FieldName,Confidence,Notes
claim:7,Ability:3263,ApCost,ActionPoints,0,0,0,client_bin,abilityexport.bin,C:\Users\Admin\Pictures\WAR_extracted\data\bin\abilityexport.bin,record=204;AbilityId=3263;offset=39456,0,39456,ApCost,client_bin,abilityexport.bin
claim:8,Ability:3263,CareerLine,CareerLineId,0,0,0,client_bin,abilityexport.bin,C:\Users\Admin\Pictures\WAR_extracted\data\bin\abilityexport.bin,record=204;AbilityId=3263;offset=39456,0,39456,CareerLine,client_bin,abilityexport.bin
claim:4,Ability:3263,CastTime,Milliseconds,0,0,0,client_bin,abilityexport.bin,C:\Users\Admin\Pictures\WAR_extracted\data\bin\abilityexport.bin,record=204;AbilityId=3263;offset=39456,0,39456,CastTime,client_bin,abilityexport.bin
claim:5,Ability:3263,Cooldown,Milliseconds,0,0,0,client_bin,abilityexport.bin,C:\Users\Admin\Pictures\WAR_extracted\data\bin\abilityexport.bin,record=204;AbilityId=3263;offset=39456,0,39456,Cooldown,client_bin,abilityexport.bin
claim:48,Ability:3263,Description,AbilityDescription,,,,client_strings,abilitydesc.txt,C:\Users\Admin\Pictures\WAR_extracted\data\strings\english\abilitydesc.txt,line=3264;EntryId=3263,3264,0,value,localized_string,abilitydesc.txt
claim:3,Ability:3263,EffectId,EffectId,2476,2476,2476,client_bin,abilityexport.bin,C:\Users\Admin\Pictures\WAR_extracted\data\bin\abilityexport.bin,record=204;AbilityId=3263;offset=39456,0,39456,EffectId,client_bin,abilityexport.bin
claim:2,Ability:3263,EffectId,EffectId,3263,3263,3263,client_csv,abilities.csv,C:\Users\Admin\Pictures\WAR_extracted\data\gamedata\abilities.csv,line=3397;AbilityId=3263,3397,0,Effect,client_contract,abilities.csv
claim:1,Ability:3263,Name,AbilityName,Concentrated Fire,Concentrated Fire,Concentrated Fire,client_csv,abilities.csv,C:\Users\Admin\Pictures\WAR_extracted\data\gamedata\abilities.csv,line=3397;AbilityId=3263,3397,0,name,client_contract,abilities.csv
claim:47,Ability:3263,Name,AbilityName,Hatred,Hatred ^n,Hatred,client_strings,abilitynames.txt,C:\Users\Admin\Pictures\WAR_extracted\data\strings\english\abilitynames.txt,line=3264;EntryId=3263,3264,0,value,localized_string,abilitynames.txt
claim:6,Ability:3263,Range,Feet,0,0,0,client_bin,abilityexport.bin,C:\Users\Admin\Pictures\WAR_extracted\data\bin\abilityexport.bin,record=204;AbilityId=3263;offset=39456,0,39456,Range,client_bin,abilityexport.bin
claim:49,Component:12698,Description,ComponentDescription,,,,client_strings,componenteffects.txt,C:\Users\Admin\Pictures\WAR_extracted\data\strings\english\componenteffects.txt,line=12699;EntryId=12698,12699,0,value,localized_string,componenteffects.txt
claim:33,Component:12698,Duration,Milliseconds,250,250,250,client_bin,abilitycomponentexport.bin,C:\Users\Admin\Pictures\WAR_extracted\data\bin\abilitycomponentexport.bin,record=6205;ComponentId=12698;offset=1086434,0,1086434,Duration,client_bin,abilitycomponentexport.bin
