Id,Kind,FromNodeId,ToNodeId,Label,ClaimId
edge:1,declared_by,ability:1409,row:abilities.csv|line=1496;AbilityId=1409,abilities.csv,
edge:2,declared_by,ability:1409,row:abilityexport.bin|record=5467;AbilityId=1409;offset=1092884,abilityexport.bin,
edge:8,declared_by,component:1439,row:abilitycomponentexport.bin|record=939;ComponentId=1439;offset=157894,abilitycomponentexport.bin,
edge:9,declared_by,component:1440,row:abilitycomponentexport.bin|record=940;ComponentId=1440;offset=158027,abilitycomponentexport.bin,
edge:10,declared_by,component:3142,row:abilitycomponentexport.bin|record=1636;ComponentId=3142;offset=281780,abilitycomponentexport.bin,
edge:7,declared_by,effect:1409,row:effects.csv|line=1482;EffectId=1409,effects.csv,
edge:6,declared_by,effect:585,row:effects.csv|line=645;EffectId=585,effects.csv,
edge:11,declared_by,requirement:9100,row:abilityrequirementexport.bin|record=99;RequirementId=9100;offset=9024,abilityrequirementexport.bin,
edge:15,localized_component_description,component:1439,row:componenteffects.txt|line=1440;EntryId=1439,componenteffects.txt,claim:27
edge:16,localized_component_description,component:1440,row:componenteffects.txt|line=1441;EntryId=1440,componenteffects.txt,claim:28
edge:17,localized_component_description,component:3142,row:componenteffects.txt|line=3143;EntryId=3142,componenteffects.txt,claim:29
edge:14,localized_description,ability:1409,row:abilitydesc.txt|line=1410;EntryId=1409,abilitydesc.txt,claim:26
edge:13,localized_name,ability:1409,row:abilitynames.txt|line=1410;EntryId=1409,abilitynames.txt,claim:25
edge:12,requires,component:3142,requirement:9100,ExtData[2].Val6,claim:24
edge:3,uses_component,ability:1409,component:1439,abilityexport.bin,
edge:4,uses_component,ability:1409,component:1440,abilityexport.bin,
edge:5,uses_component,ability:1409,component:3142,abilityexport.bin,
