Id,Kind,FromNodeId,ToNodeId,Label,ClaimId
edge:1,declared_by,ability:408,row:abilities.csv|line=471;AbilityId=408,abilities.csv,
edge:2,declared_by,ability:408,row:abilityexport.bin|record=1275;AbilityId=408;offset=248385,abilityexport.bin,
edge:9,declared_by,component:342,row:abilitycomponentexport.bin|record=6791;ComponentId=342;offset=1187736,abilitycomponentexport.bin,
edge:10,declared_by,component:436,row:abilitycomponentexport.bin|record=6883;ComponentId=436;offset=1202447,abilitycomponentexport.bin,
edge:11,declared_by,component:496,row:abilitycomponentexport.bin|record=6938;ComponentId=496;offset=1214118,abilitycomponentexport.bin,
edge:12,declared_by,component:497,row:abilitycomponentexport.bin|record=6939;ComponentId=497;offset=1214284,abilitycomponentexport.bin,
edge:7,declared_by,effect:104,row:effects.csv|line=119;EffectId=104,effects.csv,
edge:8,declared_by,effect:408,row:effects.csv|line=453;EffectId=408,effects.csv,
edge:15,localized_component_description,component:342,row:componenteffects.txt|line=343;EntryId=342,componenteffects.txt,claim:29
edge:16,localized_component_description,component:436,row:componenteffects.txt|line=437;EntryId=436,componenteffects.txt,claim:30
edge:17,localized_component_description,component:496,row:componenteffects.txt|line=497;EntryId=496,componenteffects.txt,claim:31
edge:18,localized_component_description,component:497,row:componenteffects.txt|line=498;EntryId=497,componenteffects.txt,claim:32
edge:14,localized_description,ability:408,row:abilitydesc.txt|line=409;EntryId=408,abilitydesc.txt,claim:28
edge:13,localized_name,ability:408,row:abilitynames.txt|line=409;EntryId=408,abilitynames.txt,claim:27
edge:3,uses_component,ability:408,component:342,abilityexport.bin,
edge:4,uses_component,ability:408,component:436,abilityexport.bin,
edge:5,uses_component,ability:408,component:496,abilityexport.bin,
edge:6,uses_component,ability:408,component:497,abilityexport.bin,
